id,title,authors,abstract,
1,Visual Analysis of Spatio-Temporal Event Predictions: Investigating the Spread Dynamics of Invasive Species,"Daniel Seebacher, Johannes Häußler, Michael Hundt, Manuel Stein, Hannes Mülller, Ulrich Engelke, Daniel Keim",,Paper
2,Clear Visual Separation of Temporal Event Sequences,"Andreas Mathisen, Kaj Grønbæk",,Paper
3,Visual Integration of Data and Model Space in Ensemble Learning ,"Bruno Schneider, Dominik Jäckle, Florian Stoffel, Alexandra Diehl, Johannes Fuchs, Daniel Keim",,BEST PAPER
4,Visualization of Big Spatial Data using Coresets for Kernel Density Estimates,"Yan Zheng, Yi Ou, Alexander Lex, and Jeff M. Phillips",,Paper
5,Visual Progression Analysis of Student Records Data,"Mohammad Raji, John Duggan, Blaise DeCotes, Jian Huang, Bradley Vander Zanden",,Paper
6,CancerLinker: Explorations of Cancer Study Network,"Vinh Nguyen, Md Yasin Kabir, Tommy Dang",,Paper
7,Crop Planning using Stochastic Visual Optimization,"Gunjan Sehgal, Bindu Gupta, Kaushal Paneri, Karamjit Singh, Geetika Sharma, Gautam Shroff",,Paper
8,Visualizing Sensor Network Coverage with Location Uncertainty,"Tim Sodergren, Jessica Hair, Jeff Phillips, Bei Wang",,Paper
9,BlueSky Wanderer: Improving Sensor Data Classification Through Real-time Visualization,"Marco Cavallo, Cagatay Demiralp",,Talk
10,Volumetric Data Exploration with Machine Learning-Aided Visualization in Neutron Science,"Yawei Hui, Yaohua Liu	",,Talk
11,Exploration of Heterogeneous Data Using Robust Similarity,"Mahsa Mirzargar, Ross Whitaker, Robert Kirby",,Talk
